,Index,Captions
1060,1060,"People taking part in cooking class, slicing vegetables Group of people wearing aprons taking part in cooking class, preparing food, slicing vegetables. Close up of hands. Unrecognizable people."
1061,1061,Brazilian food: Moqueca Baiana of fish and bell peppers in spicy coconut sauce close-up on a plate. horizontal top view Brazilian food: Moqueca Baiana of fish and bell peppers in spicy coconut sauce close-up on a plate on a table. horizontal top view from above
1062,1062,"Healthy and delicious bowl with buckwheat and salad of chickpea, fresh pepper and lettuce leaves. Dietary balanced plant-based food. Vegan and vegetarian dish. Top view. Flat lay Healthy and delicious bowl with buckwheat and salad of chickpea, fresh pepper and lettuce leaves. Dietary balanced plant-based food. Vegan and vegetarian dish. Top view. Flat lay"
1063,1063,floating market thailand floating boats at floating market
1064,1064,Flying vegetable greek salad isolated on white background Flying vegetable greek salad isolated on white background. Healthy eating and lifestyle. Very high resolution image
1065,1065,Woman choosing red caviar at fish supermarket Horizontal shot happy woman reading label with price at caviar jar while standing at seafood supermarket. Beautiful young girl choosing red caviar while doing shopping at grocery shop. Fish appetizer
1066,1066,Young Gorgeous Woman Preparing Vegetable Salad In Kitchen Attractive housewife cutting bell pepper while learning through tutorial online from laptop at home
1067,1067,I found bread that's gluten free. Young woman buying gluten free bread at supermarket.
1068,1068,"duck breast being drizzled with sauce A chef at an upscale Bay Area restaurant using a spoon to drizzle sauce over slices of roasted duck breast.  The duck breast is beautifully arranged with chanterelles, turnips and edible flowers."
1069,1069,Vegetables water splash Vegetables on black background with water splash
1070,1070,kids in an orchard holding red apples kids in an orchard holding red apples
1071,1071,"Diabetes monitor, diet and healthy food eating nutritional concept with clean fruits and vegetables with diabetic measuring tool kit Diabetes monitor, diet and healthy food eating nutritional concept with clean fruits and vegetables with diabetic measuring tool kit"
1072,1072,Chef serving a plate Chef serving a plate in a commercial kitchen at a restaurant - food concepts
1073,1073,student and teacher in professional cook school kitchen preparing dish student and teacher in a professional cook school kitchen preparing a plate for restaurant
1074,1074,"Sports and workout equipment on a wooden floor with healthy snacks, weight loss and physical activity concept Sports and workout equipment on a wooden floor with healthy snacks, weight loss and physical activity concept"
1075,1075,"Festively laid tables at the Banquet. Various delicacies, snacks and drinks. Catering Pink wine in glasses. Festively laid tables at the Banquet. Various delicacies, snacks and drinks. Catering."
1076,1076,Portrait of beautiful elderly couple in market buing food Portrait of beautiful elderly couple in market
1077,1077,"Green food, environmental concept. Hand holding fork with leaves and globe. Element of this image are furnished by NASA Green food, environmental concept. Hand holding fork with leaves and globe. Element of this image are furnished by NASA (https://svs.gsfc.nasa.gov/11650)"
1078,1078,"Traditional Holiday Stuffed Turkey Dinner Family having traditional holiday dinner with stuffed turkey, mashed potatoes, cranberry sauce, vegetables pumpkin and pecan pie."
1079,1079,Senior woman using digital tablet Older woman with digital tablet at plantation of fruit
1080,1080,Happy mother and daughter Beautiful young woman and a small girl choosing vegetables in the kitchen.
1081,1081,Woman eating a healthy breakfast Portrait of a casual woman at home eating a healthy breakfast and looking happy - lifestyle concepts
1082,1082,Woman checking food labelling Woman checking food labelling in supermarket
1083,1083,"Kids preparing lunch Three kids are cooking today! Mother is overseeing as a teenage girl and her two brother are chopping and mixing ingredients for family lunch.
Nikon D850"
1084,1084,"Keto diet concept - salmon, avocado, eggs, nuts and seeds Keto diet concept - salmon, avocado, eggs, nuts and seeds, bright green background, top view"
1085,1085,Here's to tonight Cropped shot of a group of young friends toasting during a dinner party at a restaurant
1086,1086,"Women's hands hold full paper bag of groceries over white wooden background, top view. From above, overhead. Flat lay. Women's hands hold full paper bag of groceries over white wooden background, top view. From above, overhead. Flat lay."
1087,1087,My lunch looks so delicious My lunch looks so delicious
1088,1088,Best food for healthy brain and memory Best food for healthy brain and memory. Top view with copy space
1089,1089,Make a change in your life Words Make a change in your life on notebook
1090,1090,Group of friends going out and taking a photo of Italian food together with mobile phone. Group of friends going out and taking a photo of Italian food together with mobile phone
1091,1091,Women working at a food factory Women working at a food factory and looking at checklist on a clipboard
1092,1092,Father and daughter looking through pepper slices Playful grandmother and granddaughter in the kitchen
1093,1093,"Dinner table, women eat healthy food at home kitchen Eating healthy food, fruits and vegetables dinner table. Women at home together, top view, flat lay, crop"
1094,1094,"The concept of Spanish cuisine. Paella with seafood, shrimps, squid and greens. Beautiful serving in the restaurant. The concept of Spanish cuisine. Paella with seafood, shrimps, squid and greens. Beautiful serving in the restaurant."
1095,1095,Healthy unhealthy food choices Unhealthy and healthy food ingredients in a the shape of question marks alongside each other
1096,1096,Cooking Beetroot soup Cooking vegetable soup with beetroot
1097,1097,"Girl holding vegan, detox Buddha bowl with quinoa, micro greens, avocado, blood orange, broccoli, watermelon radish, alfalfa seed sprouts. Girl holding vegan, detox Buddha bowl with quinoa, micro greens, avocado, blood orange, broccoli, watermelon radish, alfalfa seed sprouts."
1098,1098,Healthy food in heart and water diet  concept Healthy food in heart and water diet sport lifestyle concept
1099,1099,Young woman holding spinach leafs salad Young woman holding spinach leafs salad
1100,1100,"Preserving Organic Vegetables in Jars Preserving organic vegetables in jars like grean beans, garlic, carrots, cucumbers, tomatoes, chilis, paprika and radishes."
1101,1101,"Large group of groceries arranged neatly on white table Large Group of Groceries Isolated on White Background. Includes Canned Food, Milk, Meat, Fruits and Vegetables."
1102,1102,Selection of healthy products. Balanced diet concept. Selection of healthy products. Balanced diet concept. Selective focus.
1103,1103,Cooking right up until her last trimester Cropped shot of a pregnant woman preparing a meal on the stove at home
1104,1104,"Immunity  boosting food set on a light background . Healthy lifestyle concept, winter prevention of colds. Flat lay, top view Immunity  boosting food set on a light background . Healthy lifestyle concept, winter prevention of colds. Flat lay, top view"
1105,1105,Teacher explaining fruits to students in classroom Preschool teacher explaining students about fruits. Woman sitting with kids at desk during lunch.
1106,1106,Concept fitness and healthy proper nutrition. Space for text. Concept fitness and healthy proper nutrition. Space for text. View from above.
1107,1107,Woman holding handful of strawberries over handful of pea pods 
1108,1108,"Young Women Working at Food Factory Waist up portrait of  two young female workers wearing lab coats standing by  conveyor line with macaroni  in clean production workshop, copy space"
1109,1109,Heart shaped food. Heart shaped food. Food photography of heart made from different fruits and vegetables on rustic wooden table. Copy space. High resolution product
1110,1110,"Traditional Georgian cuisine background. Khinkali, phali, chahokhbili, lobio, cheese, eggplant rolls, dark background. Traditional Georgian cuisine background. Khinkali, phali, chahokhbili, lobio, cheese, eggplant rolls on dark background, top view."
1111,1111,"Food waste Collected food waste in a green container isolated on a white background. Colour, horizontal  with lots of copy space."
1112,1112,Healthy lifestyle foods Healthy lifestyle foods
1113,1113,Young Woman Harvesting Home Grown Lettuce Young Woman Harvesting Home Grown Lettuce
1114,1114,Girl throwing fruits waste Girl and boy trowing fruits waste into green recycling container
1115,1115,Healthy heart stethoscope diet and sport gym equipment concept on white background Healthy heart stethoscope diet and sport gym equipment concept on white background abstract
1116,1116,"Healthy food selection with fruits, vegetables, seeds, super foods, cereals Healthy food selection with fruits, vegetables, seeds, super foods, cereals and the cutting board in the middle as copy space"
1117,1117,"Chef in restaurant kitchen cooking. Preparing vegetable salad Chef in hotel or restaurant kitchen cooking, only hands. He is working on the micro herb decoration. Preparing vegetable salad with pieces of grilled chicken  meat - virgin sirloin."
1118,1118,"Spices and herbs on dark kitchen table Top view of a dark bluish background with a large group of multi colored spices and herbs arranged in a row at the left leaving useful copy space for text and/or logo at the right. Spices and herb included are clove, turmeric, bay leaf, cinnamon, olive oil, balsamic vinegar, curry powder, ginger, nutmeg, peppercorns, cinnamon, salt, chili pepper, basil, parsley, lemon, rosemary, garlic, onion and saffron. DSRL studio photo taken with Canon EOS 5D Mk II and Canon EF 100mm f/2.8L Macro IS USM"
1119,1119,"Healthy food and fitness concept Healthy food and fitness concept. Breakfast cereal, fruits, nuts and sport equipment. Top view flat lay with copy space for your text"
1120,1120,foods global foods on white background
1121,1121,Two dogs behind the table Two dogs sitting behind the kitchen table waiting for food
1122,1122,Thanksgiving Turkey Dinner Thanksgiving Turkey Dinner
1123,1123,Girl having breakfast at home Girl having breakfast at home on sunny morning
1124,1124,Dig in! High angle shot of a group of unrecognizable people's hands each grabbing a slice of pizza
1125,1125,woman face portrait with graphic icons of vitamins and minerals for skin treatment nutritional supplement / skin vitamins
1126,1126,"Healthy eating and exercising backgrounds: Fresh healthy salad, dumbbells and tape measure border Healthy eating and exercising backgrounds: Top view of a fresh organic salad plate, orange juice glass, almonds, green apple, dumbbells, jumping rope, towel, water bottle placed in a row at the bottom border of an horizontal frame leaving useful copy space for text and/or logo. Predominant color is green. High key DSRL studio photo taken with Canon EOS 5D Mk II and Canon EF 100mm f/2.8L Macro IS USM."
1127,1127,"Vegan healthy balanced diet Vegetarian buddha bowl with blank notebook and measuring tape. hickpeas, broccoli, pepper, tomato, spinach, arugula and avocado in plate on white background. Top view Vegan healthy balanced diet concept. Vegetarian buddha bowl with blank notebook and measuring tape. hickpeas, broccoli, pepper, tomato, spinach, arugula and avocado in plate on white background. Top view"
1128,1128,Young person with protective face mask buying groceries/supplies in the supermarket.Preparation for a pandemic quarantine due to coronavirus covid-19 outbreak.Choosing nonperishable food essentials Young person with protective face mask buying groceries/supplies in the supermarket.Preparation for a pandemic quarantine due to coronavirus covid-19 outbreak.Choosing nonperishable food essentials
1129,1129,Mature Black Woman Drinking a Green Smoothie A beautiful black woman with white curly hair  drinks coffee in her kitchen
1130,1130,Workers in a food processing factory packaging food Workers in a food processing factory packaging food
1131,1131,Wood table top with blur chef cooking in bar restaurant Wood table top with blur chef cooking in bar restaurant background.For create product display or design key visual layout
1132,1132,Chef is cooking appetizer Chef is cooking appetizer at commercial kitchen
1133,1133,"Friends wearing asparagus stalks under their noses Friends wearing asparagus stalks under their noses while standing in front of table full of pots, pasta noodles and vegetables"
1134,1134,"Fit, young woman holding a heart made out of vegetables Fit, young woman holding a heart made out of vegetables over her abdomen "
1135,1135,Culinary school intructor teaching students in commercial kitchen Culinary school intructor teaching students in commercial kitchen
1136,1136,Woman preparing dough in the bowl. Woman preparing dough in the bowl. Culinary workshops
1137,1137,fitness woman drink cocktail young sportswoman drink protein cocktail after workout in gym
1138,1138,Nutrition A close up on a nutrition facts label
1139,1139,Eating vegetables by child make them healthier Eating vegetables by child make them healthier
1140,1140,Avocado parent with a baby and one without An avocado parent and child in embrace beside another avocado who is sad that is it without a child or baby
1141,1141,Friends preparing food at table in kitchen Good friends laughing and talking while preparing meals at table full of vegetables and pasta ready for cooking in kitchen
1142,1142,Heart shaped avocado on wooden background Heart shaped avocado half on wooden background
1143,1143,Enjoying lunch with friends Happy people sharing their healthy lunch
1144,1144,Young cheerful female workers are pleased with the production of food factory line while wearing sterile cloths. Young cheerful female workers are pleased with the production of food factory line while wearing sterile cloths.
1145,1145,"Mother preparing school lunch box Mother cooking school lunch box set, Preparing healthy snacks - cheese sandwich with cucumber, carrot. nuts, fruits and vegetable in box."
1146,1146,"Superfood for Cold and Flu Remedy Large superfood selection for cold and flu remedy to boost immune system. High in antioxidants, anthocaynins, vitamins and minerals."
1147,1147,Young happy family talking while having lunch at dining table. Happy family communicating during lunch time in dining room. Focus is on kids.
1148,1148,"happy family funny kids bake cookies in kitchen happy family  funny kids are preparing the dough, bake cookies in the kitchen"
1149,1149,time to eat Alarm clock inside a plate
1150,1150,Friends enjoying at patio during social gathering Multi ethnic friends enjoying at patio during social gathering
1151,1151,I'll eat you tiny pea! Weight loss concept. Close up photo portrait of mad lady's eye looking at small one pea on large big plate on table I'll eat you tiny pea! Weight loss concept. Close up photo portrait of mad lady's eye looking at small one pea on large big plate on table
1152,1152,"Traditional polish Easter soup Zurek Traditional Zurek with sausage and egg, white borscht, polish homemade Easter soup"
1153,1153,"Good carbohydrate fiber rich food Healthy food. Selection of good carbohydrate sources, high fiber rich food. Low glycemic index diet. Fresh vegetables, fruits, cereals, legumes, nuts, greens. Wooden background copy space"
1154,1154,"Kid boy with stomach pain holding a glass of milk. Dairy Intolerant person. Children, health care concept. Kid boy with stomach pain holding a glass of milk. Dairy Intolerant person. Lactose intolerance, health care concept."
1155,1155,"quinoa salad freshness quinoa salad with avocado,cucumber and spinach,tomatoes."
1156,1156,Close-Up of Peeling Apple. Woman peeling Apple and placing Organic garbage on newspaper before putting into recycling bag. Horizontal shot.
1157,1157,Close Up Of Man Making Protein Shake After Exercise At Home Close Up Of Man Making Protein Shake After Exercise At Home
1158,1158,Healthy food. Young couple at gym eating healthy food after exercise.
1159,1159,"Robotic hand holding an apple 3d rendering, gmo concept, automation concept Robot 3d rendering"
1160,1160,"Healthy fitness green salad and apple Fitness salad and apple fruit surrounded by measuring tape on rustic wooden table. Mixed greens, tomatos, diet cheese, olive oil and spices for healthy lifestyle concept."
1161,1161,selection of allergy food selection of allergy food
1162,1162,Something sweet for my sweet Cropped shot of a pregnant woman eating delicious pancakes at home
1163,1163,Cute asian child girl having fun to learn about vegetables Cute asian child girl having fun to learn about vegetables with happiness
1164,1164,"Basil,sage,dill,and thyme herbs Basil,sage,dill,and thyme herbs on wooden board preparing for winter drying"
1165,1165,Technologist in protective white suit with hairnet and mask standing in food factory. Technologist at work.
1166,1166,Rotting Fruit and Vegetables Rotten fruit and vegetables clustered together on a table top
1167,1167,Cooking is fun! Photo of a group of children having fun during cooking class with a chef
1168,1168,Buying fresh beet. Attractive brunette woman choosing lettuce to buy in a supermarket.
1169,1169,"Healthy organic porridge topped with berries Healthy organic breakfast porridge topped with raspberries, blackberries, blueberries, and mint leaves"
1170,1170,Young Adult Woman Taking Food From Refrigerator A smiling woman takes some vegetables and meat from the fridge for preparing a meal.
1171,1171,Apples are extremely rich in important antioxidants Closeup shot of an unidentifiable doctor holding an apple in her hands
1172,1172,Close up of a Chef decorating a plate Close up on hand of a Chef decorating a beautiful plate at a fancy restaurant
1173,1173,"A bowl of Wakame seaweed salad Wakame seaweed salad with nut sauce, garnished with sesame seeds and red chili pepper"
1174,1174,Vintage fork on vibrant turquoise with copyspace An overhead photo of a vintage fork on a vibrant turquoise wooden background texture. A restaurant menu or special offer banner design template
1175,1175,"Plastic free set with eco cotton bag, glass jar, green leaves and recycled tableware top view. Zero waste, eco friendly concept. Flat lay. Plastic free set with eco cotton bag, glass jar, green leaves and recycled tableware top view. Zero waste, eco friendly concept. Flat lay style."
1176,1176,Staying fit and healthy. Young woman jogging outside in sunny autumn forest. She took a break to rest and drink water. The sun is shining in the background .
1177,1177,3D Printer Printing Prototypes 3D Printer Printing Prototypes
1178,1178,Happy family in the kitchen. Healthy food at home. Happy family in the kitchen. Mother and child daughter are preparing the vegetables and fruit.
1179,1179,Choosing between apple and doughnut Choosing between apple and doughnut
1180,1180,Family celebration or a garden party outside in the backyard. Family celebration outside in the backyard. Big garden party.
1181,1181,"Raw beef steak cooking Raw beef steak cooking and ingredients. Meat piece, red wine, herbs and spices. Top view with copy space over stone table"
1182,1182,"Coronavirus panic shopping Shopping essentials during coronavirus infection pandemia. Self care methods - using medical mask, gloves and hand sanitizer. Self protection. Shopping bag with essential products"
1183,1183,Couple choosing between wholegrain and refined rice Couple in supermarket choosing between wholegrain and refined rice by nutrition facts
1184,1184,Happy senior woman leading her family to perfect picnic place on the hill. Happy mature woman holding hands with her family while moving up the hill towards their picnic place.
1185,1185,Woman breathing holding a coffee mug at home Portrait of a woman breathing and holding a coffee mug at home
1186,1186,"Tasty grilled burger with lettuce and mayonnaise , rustic wooden table Tasty grilled burger with lettuce and mayonnaise ,on a rustic wooden table of counter, with copyspace"
1187,1187,Pregnant woman with Groceries Pregnant woman came back from the market
1188,1188,Young woman eating a healthy fruit salad after workout. Young woman eating a healthy fruit salad after workout. Fitness and healthy lifestyle concept.
1189,1189,Female student at a gourmet institute finishing the details of a salad she just made Female student at a gourmet institute finishing the details of a salad she just made looking very happy and smiling - Focus on foreground
1190,1190,Fastfood and healthy food on old wooden background. Concept choosing correct nutrition or of junk eating. Fastfood and healthy food on old wooden background. Concept choosing correct nutrition or of junk eating.
1191,1191,Enteral feeding of severe patient Enteral feeding of severe patient.
1192,1192,Modern senior couple spending time in the kitchen Modern senior couple spending time in the kitchen
1193,1193,sprouts avocado tomato spinach chickpeas burger rye sandwich sprouts avocado tomato spinach chickpeas burger rye sandwich. toning. selective focus
1194,1194,"Close up of young couple toasting with glasses of red wine at restaurant Couple, Romantic, Dinner, Togetherness, Holiday"
1195,1195,Portrait of a smiling senior woman having lunch with friends Portrait photo of a senior woman having lunch
1196,1196,"A meal plan for a week on a white table among products for cooking - pastas, basil, vegetables, lime, seeds, nuts and spices. Top view, flat lay, copyspace A meal plan for a week on a white table among products for cooking - pastas, basil, vegetables, lime, seeds, nuts and spices. Top view, flat lay, copyspace"
1197,1197,"Dinner for two with fish dishes and white wine Dinner for two with fish dishes and white wine, a table on the background of the sea"
1198,1198,Fruit and vegetables in a basket Fruit and vegetables in a basket
1199,1199,"Couple with beautiful bright  sweet Italian ice-cream with different flavors  in the hands Couple with beautiful bright  sweet Italian ice-cream with different flavors  in the hands   on the square in Rome , Italy"
1200,1200,"Little boy smelling pizza in restaurant Little boy aged 8 smelling just cooked pizza in restaurant.
Nikon D850"
1201,1201,"Full background of roasted autumn vegetables Full background of colorful roasted autumn vegetables, above view"
1202,1202,Young woman eating a oatmeal after a workout Young woman eating a oatmeal after a workout
1203,1203,Fresh vegetables Woman cooking
1204,1204,"Selection of good fat saurces Selection of good fat saurces, copy space"
1205,1205,"Fresh raw greens, vegetables and grains, copy space Fresh raw greens, unprocessed vegetables and grains over light grey marble kitchen countertop, top view, copy space. Clean eating, healthy, vegan, vegetarian, detox, dieting food concept"
1206,1206,Preparing traditional thai food Magia Obrazu
1207,1207,Zero waste lifestyle Plastic free Eco friendly food shopping - Healthy food Vegetable in reusable bag Zero waste lifestyle Plastic free Eco friendly food shopping - Healthy food Vegetable in reusable bag
1208,1208,"Measuring Overweight Overweight, Medical Exam, Dieting, Waistline, Nutritionist"
1209,1209,"Hands holding a grate full of fresh vegetables Old man's hands holding a crate full of fresh and raw vegetables-carrot, tomato, turnib, parsley, dill and lettuce. Field with lettuce plants on background."
1210,1210,Creative layout made of various fruits and vegetables with white paper card. Flat lay. Food concept. Creative layout made of various fruits and vegetables with white paper card. Flat lay. Food concept.
1211,1211,"Fresh salad bowl with shrimp, tomato, avocado and arugula on wooden background close up. Healthy food. Clean eating. Top view. Flat lay. Fresh salad bowl with shrimp, tomato, avocado and arugula on wooden background close up. Healthy food. Clean eating. Top view. Flat lay."
1212,1212,Counting calories Hands of senior woman counting calories via mobile application when eating salad
1213,1213,"A Chocolate Labrador puppy eating from a pet dish, - 7 weeks old A low angle view of a cute adorable 7 week old Chocolate Labrador Retriever puppy eating from a red dog dish that is sitting on a dark hardwood floor with a white baseboard and teal colored wall in the background"
1214,1214,Girl learning to prepare meal from mother Mother and daughter preparing meal at home. Girl is learning to prepare food from woman. They are in kitchen.
1215,1215,Woman checking ingredients on back of milk carton in supermarket Woman checking ingredients on back of milk carton in supermarket
1216,1216,Woman Feeling Sick While Eating Bad Food in a Restaurant Dinner customer having a bad experience feeling sick
1217,1217,mother with child having breakfast overhead view of mother and son preparing corn flakes for breakfast
1218,1218,Young beautiful pregnant woman preparing healthy meal with fruites and vegetables Young beautiful pregnant woman preparing healthy meal with fruites and vegetables
1219,1219,Assorted wrapped packages of various fruits and vegetables fruits and vegetables in packing
1220,1220,young cute white hungry labrador retriever dogs puppies eating some meat dog food from plate in garden young cute white hungry labrador retriever dogs puppies eating some raw meat
1221,1221,"Sport and fitness equipment, dumbbells, water and apple. Creative flat lay on punchy blue. Space for your text. Sport and fitness equipment, dumbbells, bottle of water and apple. Creative flat lay on punchy blue. Space for your text."
1222,1222,Senior African American Man Drinking Water A senior African American Man enjoying refreshing water after a workout
1223,1223,Enjoying a slow morning at home Shot of a man eating breakfast at the dining table
1224,1224,Raise your glasses for a toast. Raise your glasses for a toast.
1225,1225,"Healthy High Fibre Food Healthy high fibre dietary food concept with whole wheat pasta, legumes, nuts, seeds, cereals, grains and wheat sheaths. High in omega 3, antioxidants, vitamins. On marble background top view."
1226,1226,Chef finishing food in his restaurant kitchen Chef finishing food in his restaurant kitchen
1227,1227,Woman working at Bakery Workshop Mexican Woman working at Bakery Workshop
1228,1228,Food rich in ferrum Food rich in ferrum. Various natural sources of vitamins and micronutrients. Useful food for health and balanced diet. Prevention of avitaminosis. Man's hand holds tag with name of ferrum. Top view
1229,1229,Lamb and Aparagus Filet of Lamb sliced on a bed of Asparagus with Balsamic Vinegar decoration
1230,1230,Senior woman laughing while feeding her male partner in the restaurant Active senior couple having a lunch in the restaurant and woman is feeding her partner. Drinks and food are on the table.
1231,1231,Close up of white colored Oyster mushroom Macro of the gills of the oyster mushroom (Pleurotus ostreatus). Photo taken from below showing the gills on the underside of this edible mushroom. Shallow depth of focus with sharpest focus on the the gills at the center of the image. Shot with 100 mm macro lens on a Canon 20D at ISO 100.
1232,1232,exotic restaurant gourmet food exotic restaurant gourmet food concept. thailand traditional cuisine. delicious delicacy.
1233,1233,"Fresh greens, vegetables and grains with white plate in center Fresh raw greens, unprocessed vegetables and grains over light grey marble kitchen countertop, wtite plate in center, top view, copy space. Healthy, clean eating, vegan, detox, dieting food concept"
1234,1234,Woman Holding Slice Of Bread With Question Mark Sign Mid-section Of A Woman Hands Holding Sliced Bread With Question Mark Sign
1235,1235,Diet Woman checking nutrition information and calories on her phone when eating
1236,1236,Pregnant woman eat healthy food Pregnant woman eat healthy food
1237,1237,"Black concrete background with blue checkered textile Black concrete background with blue checkered textile. Food background for recipe, cooking ingredients and restaurant design with copy space for text"
1238,1238,Adult feeding baby 
1239,1239,Nutritional label Reading a nutrition label on food packaging
1240,1240,"Keto diet foods Knife and fork over wooden cutting board and ketogenic low carbs ingredients for healthy eating concept and weight loss, top view. Keto foods: meat, fish, avocado, cheese, vegetables, nuts"
1241,1241,Over shoulder view of senior man eating dinner at home Over shoulder view of senior man eating dinner at home
1242,1242,Food quality control concept Food quality control expert inspecting specimens of groceries in the laboratory
1243,1243,"Pasta ingredients Ingredients for cooking traditional italian pasta shot on rustic wood table. The ingredient are paced at the right side of the frame leaving a useful copy space at the center-left side. Composition includes tagliatelle pasta, olive oil, tomatoes, basil, pepper, salt, garlic and parmesan cheese. Low key DSRL studio photo taken with Canon EOS 5D Mk II and Canon EF 100mm f/2.8L Macro IS USM"
1244,1244,Boy eating a rice bowl in the park Japanese boy eating a onigiri while doing hanami (enjoying cherry blossoms) in spring.
1245,1245,Health visitor and a senior woman during home visit. Health visitor and a senior woman during home visit. A nurse talking to an elderly woman in an wheelchair.
1246,1246,"Vitamins and minerals in fruits and vegetables on background Vitamins and minerals in fruits and vegetables on background, panorama"
1247,1247,Turning vegetables into a business Cropped shot of a woman passing freshly picked celery to a man on a farm
1248,1248,"Chef restaurant kitchen cooking, only hands Chef restaurant kitchen cooking, only hands"
1249,1249,"Waste Hamburg, Germany - October 06, 2013: crowded garbage after the Altona fish market"
1250,1250,"Thai food herbs and spice ingredients in a wooden tray. Main market fresh Thai food herbs and spice ingredients in a colorful arrangement in an old vintage wooden compartment tray on an old wooden table. Ingredients include lemongrass, kaffir lime leaves, galangal, finger root, dried and fresh chili peppers, Thai aubergines, garlic, coriander, holy basil, sweet basil, tamarind, peppercorns, spring onion, onion, tomato, lime and coconut."
1251,1251,Smiling 8 month Old Baby Boy At Home In High Chair Being Fed Solid Food By Mother With Spoon Smiling 8 month Old Baby Boy At Home In High Chair Being Fed Solid Food By Mother With Spoon
1252,1252,Sustainable community concept Human hands holding earth global over blurred city night background. Elements of this image furnished by NASA
1253,1253,"Freshly flame grilled bacon cheese burgers in row Close up image of two freshly flame grilled beef burgers loaded with melted cheese and crispy bacon with fresh green salad leaves, sandwiched between a toasted sesame seed bun. White backgroung with room for copy space."
1254,1254,Family celebration or a garden party outside in the backyard. Unrecognizable man with a plate with food. Family celebration outside in the backyard. Big garden party.
1255,1255,"people in supermarket choosing food shopping concept, man reading label on the jar"
1256,1256,Kids in a vegetable garden with carrot Kids in a vegetable garden with carrot
1257,1257,Female runner tying her shoes next to bottle of water Drinking water concept. Female runner tying her shoe next to bottle of water.
1258,1258,"Cat and mouse healthy lunch, fun food art for kids Cat and mouse healthy lunch, fun food art for kids"
1259,1259,"checking food Strawberries, on the content herbicides and pestic checking food Strawberries, on the content herbicides and pesticides"
1260,1260,Woman Throwing Away Out Of Date Food In Refrigerator Woman Throwing Away Out Of Date Food In Refrigerator
1261,1261,Food safety concept Quality control expert inspecting at food specimen in the laboratory
1262,1262,Raw meat production Several chunks of raw meat being processed packaged and shipped
1263,1263,weight loss concept stock image of low fat healthy spinach leaves against unhealthy greasy burger with french fries. diet concept
1264,1264,"Glass bottle at factory for production of glass containers. Glass bottle texture Glass bottle texture. Glass bottle at factory for production of glass containers. Many of transparent brown glass bottle into row, close up."
1265,1265,"Close up view of carrots and some other vegetables Close up view of carrots and some other vegetables held by a woman at market. They are fresh and natural, she is carrying them on some recycled paper bags, with strong concept of sustainability."
1266,1266,attractive chef reading recipe in recipe book at restaurant kitchen attractive chef reading recipe in recipe book at restaurant kitchen
1267,1267,Portrait of satisfied smiling chef on restaurant kitchen Portrait of satisfied cheerful positive chef on restaurant kitchen with busy professional staff
1268,1268,"Assorted Chinese dishes Set of assorted Chinese food on table with female hand holding chopsticks from above. Full and festive table with all traditional Chinese dishes, asian style dinner or buffet, top view"
1269,1269,Fresh bio-waste and compost Fresh bio-waste and compost in the garden with white roses
1270,1270,"Consumer buying panic about coronavirus covid-19 concept. People buying essentials in bulk at supermarkets concept. Woman hold shopping bag with rolls of toilet paper, pasta and buckweat Consumer buying panic about coronavirus covid-19 concept. People buy essentials in bulk at supermarkets concept. Woman hold shopping bag with rolls of toilet paper, pasta and buckweat"
1271,1271,She's got an eye for quality control Shot of a focused young factory working doing quality control in a vegetable processing plant
1272,1272,modern luxury kitchen black golden tone with wooden tabletop space for display or montage your products. modern luxury kitchen black golden tone with wooden tabletop space for display or montage your products.
1273,1273,Duck leg confit Duck leg confit
1274,1274,"Raw uncooked sea bass with  lemon, olive oil, herbs and spices Raw uncooked sea bass with  lemon, olive oil, herbs and spices"
1275,1275,"mix of sweet cakes, donuts and candy with sugar text mix of sweet cakes, donuts and candy with sugar spread and written text in unhealthy nutrition, chocolate abuse and addiction concept, body and dental care"
1276,1276,Happy Hens A human hand is holding some corn to feed the hens. The hand belongs to a working farmer and are rough. The chickens are free range and happily roaming the countryside.
1277,1277,"Berry salad Mixed salad leaves with berries, avocado and honey-mustard dressing"
1278,1278,"Female feet on digital scales with word yes surrounded by sport accessories (AB roller wheel, fitness gloves), plate with healthy food and water bottle. Concept of active healthy lifestyle. Female feet on digital scales with word yes surrounded by sport accessories (AB roller wheel, fitness gloves), plate with healthy food and water bottle. Concept of active healthy lifestyle. Top view."
1279,1279,"Scale shaped on the wood plate with a fork and spoon, blue background.  Diet and Healthy Concept Scale shaped on the wood plate with a fork and spoon, blue background.  Diet and Healthy Concept"
1280,1280,"Healthy raw food variety over grey concrete background Clean eating concept over grey concrete background, top view. Vegetables, fruit, seeds, cereals, beans, spices, superfoods, herbs for vegan, gluten free, allergy-friendly weight loosing or raw diet"
1281,1281,"Beautiful woman making fruits smoothies with blender. Healthy eating lifestyle concept portrait of beautiful young woman preparing drink with bananas, strawberry and kiwi at home in kitchen."
1282,1282,stir fry with chicken Healthy stir fried vegetables with chicken on pan close up
1283,1283,Bacteria And Germs On Vegetables Bacteria and germs on vegetables and the health risk of ingesting contaminated green food including romaine lettuce as a produce safety concept 3D render elements.
1284,1284,"Breakfast with muesli, fruits, berries, nuts. Flat lay, top view Breakfast with muesli, fruits, berries, nuts on white background. Healthy food concept. Flat lay, top view, copy space"
